cid,title,genres,maker,series,performers_count,name,label,sizes,poster_url,sample_movie_url,affiliate_url,review_len,images_count,ts_iso
icg005,ひなの,アクメ・オーガズム / 独占配信 / ハイビジョン / ハメ撮り / イラマチオ / おもちゃ / 中出し / 女子校生,素人いちご組,,0,ひなの,素人いちご組,B-- W-- H--,https://pics.dmm.co.jp/digital/amateur/icg005/icg005jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=icg005/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Dicg005&af_id=shinya39-995&ch=api,312,0,2025-12-15T02:05:38+09:00
himemix421,ナノハ,スレンダー / 巨乳 / ハイビジョン / ツンデレ / 看護婦・ナース,HimeMix,,0,ナノハ(23),HimeMix,T161 B88 W58 H90,https://pics.dmm.co.jp/digital/amateur/himemix421/himemix421jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=himemix421/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Dhimemix421&af_id=shinya39-995&ch=api,203,0,2025-12-15T02:06:08+09:00
tcnb081,のどか,美乳 / 巨乳 / ハイビジョン / ハメ撮り / 中出し,たちんぼ,,0,のどか,たちんぼ,T155 B86 W60 H89,https://pics.dmm.co.jp/digital/amateur/tcnb081/tcnb081jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=tcnb081/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Dtcnb081&af_id=shinya39-995&ch=api,987,0,2025-12-15T02:06:39+09:00
refuck206,しずくさん,巨乳 / ハイビジョン / 中出し / 痴女 / 美少女,Re:Fuck,,0,しずくさん(21),Re：Fuck,T165 B90 W54 H86,https://pics.dmm.co.jp/digital/amateur/refuck206/refuck206jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=refuck206/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Drefuck206&af_id=shinya39-995&ch=api,369,0,2025-12-15T02:07:09+09:00
kaku260,あやめさん,巨乳 / ハイビジョン / 汗だく / 中出し / 淫乱・ハード系,KAKUJITSU,,0,あやめさん(24),KAKUJITSU,T153 B84 W52 H80,https://pics.dmm.co.jp/digital/amateur/kaku260/kaku260jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=kaku260/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Dkaku260&af_id=shinya39-995&ch=api,325,0,2025-12-15T02:07:44+09:00
mla245,しずく,スレンダー / ハイビジョン / ハメ撮り / 中出し / 寝取り・寝取られ・NTR,まんまんランド,,0,しずく(21),まんまんランド,T161 B86 W62 H95,https://pics.dmm.co.jp/digital/amateur/mla245/mla245jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=mla245/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Dmla245&af_id=shinya39-995&ch=api,529,0,2025-12-15T02:08:14+09:00
rabi046,めぐ 2,ハイビジョン / ハメ撮り / 顔射 / フェラ / コスプレ / 不倫,ラブラビッツ,,0,めぐ,ラブラビッツ,T162 B85 W57 H88,https://pics.dmm.co.jp/digital/amateur/rabi046/rabi046jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=rabi046/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Drabi046&af_id=shinya39-995&ch=api,121,0,2025-12-15T02:08:43+09:00
syuk020,らぶちゃん,ミニ系 / ハイビジョン / ハメ撮り / フェラ / 中出し / 美少女,宿題ちゃん,,0,らぶちゃん,宿題ちゃん,T152 B82 W60 H83,https://pics.dmm.co.jp/digital/amateur/syuk020/syuk020jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=syuk020/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Dsyuk020&af_id=shinya39-995&ch=api,297,0,2025-12-15T02:09:13+09:00
bmyb231,舞 2,巨乳 / ハイビジョン / 超乳 / パイズリ,ボインな君と。,,0,舞(24),ボインな君と。,T157 B109 W66 H110,https://pics.dmm.co.jp/digital/amateur/bmyb231/bmyb231jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=bmyb231/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Dbmyb231&af_id=shinya39-995&ch=api,205,0,2025-12-15T02:09:43+09:00
ttjm205,HONOKA,美乳 / 巨乳 / ハイビジョン / 中出し / 淫乱・ハード系 / 人妻・主婦,鉄人2号さん,,0,HONOKA,鉄人2号さん,B-- W-- H--,https://pics.dmm.co.jp/digital/amateur/ttjm205/ttjm205jm.jpg,https://www.dmm.co.jp/litevideo/-/part/=/cid=ttjm205/size=720_480/affi_id=shinya39-995/,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Famateur%2Fcontent%2F%3Fid%3Dttjm205&af_id=shinya39-995&ch=api,114,0,2025-12-15T02:10:15+09:00
